n^2,,,,,
number,orig,ave,orig-ave,stdd,orig place
150,66,71.24138693,-5.241386926,67.55121268,1663
151,193,98.57862191,94.42137809,107.273852,607
152,421,96.84474382,324.1552562,103.4304296,77
153,134,68.79615724,65.20384276,52.79710408,558
154,169,95.6309629,73.3690371,95.37199849,768
155,71,44.10821555,26.89178445,18.78626631,305
156,83,49.16784452,33.83215548,21.87697714,205
157,179,151.920053,27.079947,185.9325324,1159
158,86,49.35998233,36.64001767,24.57175271,382
159,324,62.99823322,261.0017668,42.00469009,18
160,159,112.4494258,46.5505742,139.7235379,847
161,72,79.08922261,-7.089222615,95.74017488,1332
162,149,59.65768551,89.34231449,41.00356954,180
163,173,74.51921378,98.48078622,54.93854246,291
164,228,134.8685954,93.13140459,161.4294259,853
165,91,46.93904594,44.06095406,22.22134662,96
166,78,67.49425795,10.50574205,44.10402659,1540
167,208,143.0050795,64.99492049,228.4650206,733
168,63,56.79637809,6.203621908,31.16761317,1746
169,135,91.88206714,43.11793286,83.33939483,1120
170,9,20.6704947,-11.6704947,20.68753304,2877
171,64,51.22416078,12.77583922,26.00930571,1294
172,83,120.2431537,-37.24315371,159.4930679,1676
173,86,68.2334364,17.7665636,48.0296173,1412
174,65,54.77142226,10.22857774,30.34317274,1569
175,87,98.90415194,-11.90415194,104.3166773,1632
176,67,52.43440813,14.56559187,27.05872474,1370
177,62,52.63030035,9.369699647,28.25896588,1583
178,60,50.4430212,9.556978799,27.86633329,1453
,,,30.50023812,80.72670321,1035.039106
n^2 - number of unmatched,,,,,
number,orig,ave,orig-ave,stdd,orig place
0,-44,24.98630742,-68.98630742,168.5475151,2967
1,11,-1.550574205,12.5505742,111.996102,1648
2,-54,-5.085689046,-48.91431095,109.0216194,4208
3,-54,-25.61108657,-28.38891343,109.9072591,3995
4,31,10.26214664,20.73785336,103.421805,1594
5,-123,-39.79240283,-83.20759717,113.6218766,4246
6,-4,11.982553,-15.982553,127.6965917,2002
7,-38,-4.893109541,-33.10689046,108.8485128,4000
8,2,-23.46090989,25.46090989,102.8973457,1363
9,-38,-0.884938163,-37.11506184,107.1795032,4073
10,-47,-10.7210689,-36.2789311,107.057412,4063
11,-7,-9.076855124,2.076855124,104.1312445,2648
12,-26,-9.480123675,-16.51987633,105.0456428,3662
13,-65,15.83657244,-80.83657244,181.9941457,3414
14,-47,-15.55609541,-31.44390459,111.4708935,3990
15,-42,-3.005742049,-38.99425795,109.6158848,4133
16,-53,21.16475265,-74.16475265,147.0097929,4020
17,18,-16.48586572,34.48586572,102.565093,935
18,19,-11.41166078,30.41166078,120.547502,1279
19,-332,-270.4803445,-61.51965548,454.0047366,1309
20,163,-14.1930212,177.1930212,104.7802484,44
21,6,-4.731007067,10.73100707,200.7884571,1234
22,74,11.20538869,62.79461131,125.2114122,900
23,-31,-31.27561837,0.275618375,105.5288508,1954
24,-28,-1.126987633,-26.87301237,107.9928201,3841
25,-27,-2.775839223,-24.22416078,107.0991844,3810
26,-30,-13.86925795,-16.13074205,110.81347,3624
27,-54,-19.59783569,-34.40216431,113.7930661,3968
28,-26,-16.2444788,-9.755521201,108.8633759,3510
29,10,-11.15172261,21.15172261,100.8206464,1606
30,1,-15.84408127,16.84408127,105.8044377,2116
31,-38,-3.355344523,-34.64465548,108.2761745,4043
32,-25,-0.923365724,-24.07663428,107.4258562,3803
33,24,-1.761704947,25.76170495,301.2685876,1085
34,10,-46.24977915,56.24977915,111.6941658,1103
35,-25,-0.830388693,-24.16961131,104.730809,3861
36,14,-8.276722615,22.27672261,116.2726537,1527
37,-27,-1.709805654,-25.29019435,106.2723565,3825
38,-42,28.94567138,-70.94567138,164.5852324,3823
39,-6,-49.0960689,43.0960689,112.8736876,1011
40,-38,-5.07729682,-32.92270318,110.5762961,3779
41,73,-2.755742049,75.75574205,103.7220053,608
42,-50,-20.33171378,-29.66828622,113.2116437,3917
43,69,10.97305654,58.02694346,158.4582484,995
44,-54,-19.59783569,-34.40216431,113.7930661,3968
45,-58,-0.664310954,-57.33568905,109.4700834,4271
46,15,18.29394876,-3.293948763,143.9348119,1677
47,-62,-19.02650177,-42.97349823,114.3728374,4041
48,22,-13.35048587,35.35048587,102.7490089,951
49,22,8.754196113,13.24580389,106.9758086,1799
50,-72,10.29483216,-82.29483216,172.2501349,3853
51,11,-0.485865724,11.48586572,102.390678,1797
52,-41,-2.830388693,-38.16961131,109.2916679,4102
53,16,7.780918728,8.219081272,151.4197976,1511
54,61,-36.65923145,97.65923145,123.7493345,857
55,-6,-27.3805212,21.3805212,106.4504473,1979
56,-36,-189.4079064,153.4079064,127.0797251,463
57,-28,-18.74315371,-9.25684629,106.9594887,3611
58,-11,18.84783569,-29.84783569,149.4414454,2072
59,128,-89.02363074,217.0236307,97.58243827,62
60,151,-70.86108657,221.8610866,98.4396795,40
61,-67,25.00750883,-92.00750883,156.4245589,4234
62,47,-10.95958481,57.95958481,113.3340788,362
63,22,-8.395759717,30.39575972,105.6272749,1296
64,-46,42.7164311,-88.7164311,275.1597119,2177
65,-74,-20.82575088,-53.17424912,115.2168982,4100
66,-78,-20.18970848,-57.81029152,117.2504003,4087
67,-26,-14.49315371,-11.50684629,109.8159637,3466
68,-47,-12.60777385,-34.39222615,111.2436696,4038
69,-26,29.98144876,-55.98144876,256.5466074,1744
70,95,-3.535777385,98.53577739,108.028077,79
71,30,9.161439929,20.83856007,212.6926797,1186
72,-46,-23.94368375,-22.05631625,112.0337104,3821
73,-36,-2.079284452,-33.92071555,110.0560335,3949
74,-59,-4.150397527,-54.84960247,111.0911296,4225
75,-60,-3.791740283,-56.20825972,111.0447819,4245
76,30,-4.835026502,34.8350265,110.8935915,1377
77,6,19.51545936,-13.51545936,158.5986089,1692
78,-30,-24.31051237,-5.689487633,205.4041744,1181
79,42,-4.316033569,46.31603357,105.9387811,1010
80,-20,-8.666077739,-11.33392226,108.4867657,3544
81,-27,-7.823984099,-19.1760159,106.9213024,3745
82,8,-15.72681095,23.72681095,107.9070556,1658
83,7,23.88869258,-16.88869258,132.5323998,2154
84,94,-24.55719965,118.5571996,106.9644904,81
85,43,-56.41475265,99.41475265,138.2090912,217
86,86,-14.96090989,100.9609099,104.3932157,148
87,-52,-14.56117491,-37.43882509,113.9419264,4018
88,203,-71.54394876,274.5439488,151.3974621,315
89,-42,8.417181979,-50.41718198,122.9611308,2966
90,-49,17.71996466,-66.71996466,208.439047,2140
91,13,-4.42159894,17.42159894,104.5198598,1726
92,-31,-18.4719523,-12.5280477,98.25843956,3226
93,-129,-252.0700088,123.0700088,272.0140319,626
94,76,-35.44390459,111.4439046,114.8246568,308
95,-2,-3.505521201,1.505521201,105.7930257,3105
96,54,-42.09121025,96.09121025,99.54911085,252
97,58,-65.30035336,123.3003534,98.50627493,212
98,23,7.281139576,15.71886042,104.2157837,1799
99,63,-59.24425795,122.244258,98.14984786,156
100,-92,-17.03467314,-74.96532686,113.4275733,4232
101,-60,-4.455388693,-55.54461131,110.012683,4261
102,-84,-10.3414311,-73.6585689,105.6565145,4096
103,-75,-156.7418286,81.74182862,215.8854145,678
104,-56,-9.674911661,-46.32508834,107.9539981,4200
105,-41,-8.321113074,-32.67888693,109.4778455,4080
106,-60,-12.37190813,-47.62809187,111.112921,4133
107,-77,-28.87522085,-48.12477915,307.3182514,1455
108,-1081,-1224.000442,143.0004417,463.5031243,574
109,-42,-3.4829947,-38.5170053,106.6378368,4152
110,-1,-5.890017668,4.890017668,102.5549142,2016
111,-8,-2.058524735,-5.941475265,106.6027345,2252
112,-64,-7.510159011,-56.48984099,109.8147548,4230
113,-9,-13.85622792,4.856227915,109.7306325,3306
114,-57,-4.405918728,-52.59408127,109.2098508,4228
115,-188,-106.0748675,-81.92513251,268.6735172,1925
116,15,-2.27495583,17.27495583,99.61075601,1568
117,306,-11.68462898,317.684629,107.3089885,6
118,8,9.072438163,-1.072438163,168.7739842,1545
119,-44,-11.3405477,-32.6594523,107.8577526,3986
120,-12,-0.39885159,-11.60114841,105.7576628,3100
121,-129,-15.46731449,-113.5326855,371.7368422,2894
122,-46,3.794390459,-49.79439046,100.7564428,4012
123,-44,-26.72327739,-17.27672261,110.892666,3810
124,-36,-12.89818905,-23.10181095,109.9325163,3843
125,67,-21.14686396,88.14686396,110.8358436,692
126,-35,-71.37058304,36.37058304,142.8830495,1275
127,-28,-42.42910777,14.42910777,126.289563,1528
128,-40,-13.76347173,-26.23652827,118.3388836,2075
129,88,-15.65724382,103.6572438,115.4466094,687
130,-60,-20.96068905,-39.03931095,113.4959653,4011
131,-43,10.61020318,-53.61020318,145.9709866,3397
132,-38,-5.743374558,-32.25662544,105.5176724,4107
133,53,-25.88560071,78.88560071,111.3710916,266
134,-43,-1.949204947,-41.05079505,106.3982891,4187
135,-71,-9.723056537,-61.27694346,105.9187162,4326
136,-102,-10.06713781,-91.93286219,209.5429221,2941
137,-78,-17.83856007,-60.16143993,113.7451888,4145
138,26,-13.27075972,39.27075972,102.570238,1176
139,58,-3.185954064,61.18595406,167.5573272,978
140,-2,-5.260379859,3.260379859,108.0277006,2065
141,-47,19.01810954,-66.01810954,196.0305673,2263
142,-51,-24.12919611,-26.87080389,110.3377218,2401
143,-84,16.6254417,-100.6254417,124.2575111,4419
144,-10,-16.75574205,6.755742049,105.6897669,3027
145,-18,-20.81382509,2.813825088,107.2939084,3335
146,-84,-41.69787986,-42.30212014,180.0277613,2989
147,-108,-42.26965548,-65.73034452,382.989797,1856
148,-47,14.88228799,-61.88228799,203.5842533,2106
149,-43,8.828180212,-51.82818021,111.1001803,4072
150,-40,9.657243816,-49.65724382,102.1988661,4184
151,85,-61.2895318,146.2895318,116.0284606,353
152,282,-73.1245583,355.1245583,114.477226,37
153,51,-5.528268551,56.52826855,101.2967996,660
154,16,-87.50441696,103.504417,111.0078606,685
155,-26,-14.49315371,-11.50684629,109.8159637,3466
156,-26,-5.855786219,-20.14421378,110.2215974,3680
157,38,-10.29085689,48.29085689,207.1089923,1151
158,-14,-15.63272968,1.632729682,105.8500404,3413
159,231,-1.526280919,232.5262809,106.9548682,26
160,-6,-55.90768551,49.90768551,144.682273,926
161,-43,17.40746466,-60.40746466,106.8685634,4129
162,84,-22.15039753,106.1503975,96.15807365,92
163,109,-29.00397527,138.0039753,100.8873724,124
164,25,-110.7879859,135.7879859,174.1774628,795
165,-11,-9.192358657,-1.807641343,108.0880308,3523
166,-29,1.870803887,-30.87080389,102.679907,3916
167,-143,-243.4271201,100.4271201,241.5019359,682
168,-47,-0.848277385,-46.15172261,108.6617811,4181
169,6,-31.2334364,37.2334364,119.6447261,1350
170,-138,-49.64553887,-88.35446113,111.8072982,4280
171,-50,-4.22040636,-45.77959364,110.2501773,4156
172,-70,16.07597173,-86.07597173,181.5168396,3398
173,-13,2.807420495,-15.80742049,101.6629596,3169
174,-46,-3.978798587,-42.02120141,107.0441233,4156
175,-42,8.28864841,-50.28864841,136.3300886,2841
176,-47,-2.201855124,-44.79814488,108.6043382,4181
177,-48,-7.923365724,-40.07663428,107.1095469,4161
178,-55,-6.797040636,-48.20295936,108.8316207,4210
,-19.37988827,-25.19749985,5.817611584,,2503.273743
0,162,7118891.209,-7118729.209,3.31E+08,1651
1,175,562501.8339,-562326.8339,2.88E+07,1523
2,145,528.9081272,-383.9081272,1805.504491,1617
3,141,130.3173587,10.68264134,129.2416237,571
4,201,2894798.905,-2894597.905,4.48E+07,1565
5,27,15837.82001,-15810.82001,612352.3964,3125
6,207,1.27E+07,-12675556.56,1.40E+08,1426
7,149,215.0384276,-66.03842756,353.6726683,1500
8,177,5321414.455,-5321237.455,1.05E+08,1213
9,148,3829.74735,-3681.74735,78722.618,1904
10,146,2.09E+07,-20859160.08,1.88E+08,761
11,166,268.5713339,-102.5713339,946.6252396,1128
12,157,1.53E+07,-15270237.8,1.61E+08,372
13,161,3.75E+07,-37548465.65,3.58E+08,1816
14,145,124.3105124,20.68948763,37.4060821,441
15,162,1962.234541,-1800.234541,11188.21437,1150
16,173,5.80E+07,-57990054.66,3.25E+08,1760
17,191,223.6835247,-32.68352473,230.7534228,744
18,205,1.77E+07,-17666760.09,1.79E+08,1568
19,199,3.24E+07,-32421632.27,3.41E+08,1132
20,1932053663,1.78E+07,1914267983,1.80E+08,10
21,209,4.60E+07,-45997475.81,3.32E+08,1430
22,229,9.71E+07,-97098260.59,4.23E+08,1477
23,179,4373273.671,-4373094.671,8.27E+07,1487
24,173,1099760.188,-1099587.188,8.22E+07,993
25,174,284533.2531,-284359.2531,1.90E+07,1039
26,152,548.860424,-396.860424,3088.044007,617
27,142,121.1715989,20.82840106,35.54801184,286
28,156,181.98697,-25.98696996,350.4629353,600
29,191,1764782.318,-1764591.318,4.18E+07,794
30,183,218.6212456,-35.62124558,224.1643707,708
31,163,544.6309629,-381.6309629,1253.097745,1493
32,173,11429.49426,-11256.49426,595917.9157,1430
33,242,1.53E+07,-15334209.78,4.74E+08,1481
34,218,429812.9998,-429594.9998,2.87E+07,1847
35,175,193.4268993,-18.42689929,352.5843682,1368
36,186,646167.7253,-645981.7253,1.60E+07,1713
37,158,3608.368816,-3450.368816,79444.3084,1598
38,160,2.19E+07,-21907433.81,3.53E+08,1771
39,195,-2532.366608,2727.366608,4.32E+07,1358
40,160,1537233.54,-1537073.54,4.67E+07,1867
41,207,2332764.103,-2332557.103,3.55E+07,1382
42,144,121.5194346,22.48056537,35.72631752,237
43,261,1.98E+07,-19803068.19,3.25E+08,1331
44,142,121.1715989,20.82840106,35.54801184,286
45,144,6438151.7,-6438007.7,9.33E+07,1843
46,179,6.44E+07,-64412162.79,3.76E+08,1806
47,138,119.8085247,18.19147527,34.93714381,506
48,180,246.4715106,-66.4715106,669.4717589,974
49,183,7522820.679,-7522637.679,1.14E+08,1715
50,163,1.88E+07,-18834437.44,3.74E+08,1515
51,194,1283.134496,-1089.134496,24478.5546,1313
52,147,1760.885822,-1613.885822,7671.477037,1424
53,198,5.74E+07,-57436937.66,3.04E+08,1681
54,227,121588.8326,-121361.8326,7143510.178,1619
55,167,783058.1581,-782891.1581,4.52E+07,292
56,5252,8460543.627,-8455291.627,1.19E+08,359
57,153,169.8189046,-16.81890459,1203.655685,604
58,174,5.67E+07,-56672784.96,3.12E+08,1903
59,295,197.7091431,97.29085689,979.1872409,219
60,985,520.2621466,464.7378534,7809.819997,119
61,152,3.72E+07,-37199136.13,4.16E+08,1885
62,219,8439668.797,-8439449.797,1.87E+08,495
63,193,-1859980.228,1860173.228,1.61E+08,1308
64,174,3.45E+07,-34482527.48,4.35E+08,1674
65,132,117.8557862,14.14421378,34.20597564,1377
66,130,116.9134276,13.08657244,33.85071696,1409
67,154,125.1925795,28.80742049,37.28525696,136
68,145,9306403.953,-9306258.953,1.06E+08,568
69,186,1.45E+07,-14532793.88,3.95E+08,1555
70,479001741,1.02E+07,468787563.4,1.11E+08,47
71,211,2.96E+07,-29585317.23,3.36E+08,1824
72,146,120.8136042,25.18639576,35.47489122,166
73,259,1671534.839,-1671275.839,4.77E+07,948
74,156,6969539.75,-6969383.75,9.41E+07,1225
75,156,6969166.575,-6969010.575,9.41E+07,1257
76,224,121636.5049,-121412.5049,7143584.821,1292
77,219,5.07E+07,-50701649.24,3.10E+08,1415
78,195,4.66E+07,-46648234.5,3.70E+08,1444
79,213,3602320.684,-3602107.684,6.04E+07,1466
80,174,131.1727032,42.82729682,41.93475957,220
81,169,152.0779594,16.92204064,124.5780045,827
82,905,1226.150618,-321.1506184,54249.65806,54
83,297,7.30E+07,-73008211.21,3.79E+08,1228
84,363768,4266736.46,-3902968.46,8.29E+07,52
85,226,1.40E+07,-14018288.55,2.06E+08,440
86,363079,6065022.333,-5701943.333,8.88E+07,68
87,156,123.0649293,32.93507067,36.57739903,95
88,464,891016.8167,-890552.8167,3.57E+07,1520
89,167,5.78E+07,-57768923.67,3.46E+08,1714
90,172,-1.11E+07,11098758.54,3.59E+08,1765
91,187,2520555.517,-2520368.517,5.98E+07,1034
92,161,4721319.996,-4721158.996,9.85E+07,1555
93,965,7.06E+07,-70565184.94,3.14E+08,1067
94,210,1.98E+07,-19778763.13,2.02E+08,790
95,869,312.7067138,556.2932862,1642.917383,209
96,203,8750.185292,-8547.185292,136414.113,812
97,216,689673.4346,-689457.4346,3.13E+07,836
98,40468,7432469.639,-7392001.639,9.71E+07,290
99,212,8753.826634,-8541.826634,136414.1398,798
100,127,197.760159,-70.76015901,563.4863722,2383
101,146,18118.98609,-17972.98609,612767.2766,1658
102,153,1852464.469,-1852311.469,5.15E+07,1830
103,213,4292979.422,-4292766.422,1.02E+08,1548
104,143,452.4068021,-309.4068021,1420.172596,1751
105,147,1.56E+07,-15568617.12,1.62E+08,1236
106,140,423.5119258,-283.5119258,9349.323804,1055
107,193,2.42E+07,-24233639.42,4.00E+08,1381
108,233,-492838.7858,493071.7858,9.75E+07,1525
109,149,673.4670936,-524.4670936,12188.04736,1548
110,164,879521.7928,-879357.7928,2.98E+07,1402
111,168,81278.9693,-81110.9693,1583971.844,1709
112,140,153.9988958,-13.99889576,632.1807011,1689
113,864,482.0282686,381.9717314,9544.903704,42
114,142,39803.74227,-39661.74227,1190795.639,1689
115,174,4.92E+07,-49174687.79,4.70E+08,1656
116,193,491.9728357,-298.9728357,1904.827242,1195
117,-288522074,1.01E+07,-298671653.4,1.47E+08,4521
118,201,5.87E+07,-58735443.86,3.91E+08,1891
119,148,180.8228799,-32.82287986,324.0035294,1422
120,167,2231.386705,-2064.386705,77020.55911,1321
121,172,3.90E+07,-39036333.87,4.00E+08,1623
122,166,4748120.578,-4747954.578,1.12E+08,1270
123,143,118.902606,24.09739399,35.42898402,187
124,152,130.0934187,21.90658127,85.37424819,714
125,223,39567.90018,-39344.90018,1892734.75,1475
126,312,348232.8227,-347920.8227,2792264.551,1470
127,303,564551.782,-564248.782,2.96E+07,1521
128,178,354956.9315,-354778.9315,1.24E+07,1817
129,343,713551.4912,-713208.4912,1.76E+07,1063
130,138,119.7943905,18.20560954,35.06865294,302
131,164,5.63E+07,-56343000.16,3.15E+08,1799
132,151,41057.16762,-40906.16762,677549.6586,1689
133,192,2056187.748,-2055995.748,2.48E+07,487
134,149,609.0704505,-460.0704505,10864.02973,1893
135,148,1569.95826,-1421.95826,55072.63082,1873
136,164,3.15E+07,-31482744.5,3.37E+08,1667
137,132,120.2946113,11.70538869,34.64342272,1902
138,180,351406.4033,-351226.4033,1.91E+07,1076
139,211,1.77E+07,-17702622.4,4.07E+08,1181
140,174,1950366.284,-1950192.284,2.42E+07,1387
141,193,4.86E+07,-48554196.59,3.70E+08,1857
142,169,2.01E+07,-20135275.23,1.90E+08,1764
143,139,2.26E+07,-22566137.87,3.38E+08,1928
144,164,6625.713118,-6461.713118,162444.6117,655
145,175,203512.9777,-203337.9777,2837653.813,242
146,167,9455355.572,-9455188.572,1.70E+08,1612
147,190,4.73E+07,-47345749.92,4.09E+08,1894
148,172,4.33E+07,-43271373.67,3.59E+08,1755
149,162,917462.047,-917300.047,3.52E+07,1821
150,151,8.14E+07,-81382606.67,3.19E+08,1841
151,250,6842884.226,-6842634.226,1.29E+08,1423
152,-288522050,1.16E+07,-300128251.3,1.50E+08,4522
153,235,600786.2127,-600551.2127,1.26E+07,878
154,230,92514.81029,-92284.81029,552062.1607,1680
155,154,125.1925795,28.80742049,37.28525696,136
156,186,565166.4598,-564980.4598,2.69E+07,798
157,338,7.68E+07,-76836244.14,4.76E+08,1299
158,162,139.7643551,22.23564488,105.0736928,721
159,2004189334,1.68E+07,1987348690,1.77E+08,24
160,207,9.12E+07,-91231263.18,4.12E+08,1541
161,169,3.47E+07,-34658468.92,3.32E+08,1097
162,204,231.4065813,-27.40658127,3180.635562,443
163,226,734.2254859,-508.2254859,27673.59399,701
164,271,1.42E+07,-14154145.05,2.96E+08,1691
165,268,175.9277827,92.07221731,893.6039025,128
166,162,4336.808304,-4174.808304,26010.65592,1716
167,248,2.30E+07,-23005347.71,3.63E+08,1349
168,150,157974.5804,-157824.5804,7240867.113,1836
169,222,-762126.6281,762348.6281,2.94E+07,1495
170,7,117120.7476,-117113.7476,7142748.162,3236
171,162,2242651.741,-2242489.741,6.46E+07,995
172,164,1.02E+07,-10226664.86,3.29E+08,1753
173,180,4409.628534,-4229.628534,77229.51832,1652
174,164,16494.9057,-16330.9057,229514.2962,1244
